[12:41:37] performing environment setup

[12:41:37] starting measurement - 2021-04-26

[12:41:37] got 24980.5810781094 as value
[12:41:37] got 24995.8065683026 as value
[12:41:38] got 25000.50029499409 as value
[12:41:38] got 24965.70371529711 as value
[12:41:39] got 24983.6144302620 as value
[12:41:39] got 24998.79863113425 as value
[12:41:40] got 24974.14507045236 as value
[12:41:40] got 24983.6144302620 as value
[12:41:41] got 24986.2211028398 as value
[12:41:41] got 24997.62148685350 as value
[12:41:42] got 24986.913054637 as value
[12:41:42] got 24997.62148685350 as value
[12:41:43] got 24980.29293262991 as value
[12:41:43] got 24975.28770605055 as value
[12:41:44] got 24997.62148685350 as value
[12:41:44] got 24976.1131483663 as value
[12:41:45] got 24998.79863113425 as value
[12:41:45] got 24988.71573330650 as value
[12:41:46] got 24980.5810781094 as value
[12:41:46] got 25020.7795242274 as value
[12:41:47] got 24997.62148685350 as value
[12:41:47] got 24974.14507045236 as value
[12:41:48] got 24980.5810781094 as value
[12:41:48] got 24965.70371529711 as value
[12:41:49] got 24998.79863113425 as value
[12:41:49] got 24988.71573330650 as value
[12:41:50] got 25016.7440127607 as value
[12:41:50] got 24980.5810781094 as value
[12:41:51] got 24974.14507045236 as value
[12:41:51] got 25003.35175531472 as value
[12:41:52] got 24980.1561244120 as value
[12:41:52] got 24996.23389632926 as value
[12:41:53] got 25016.7440127607 as value
